,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
176,176,1994,9,0.0028617093,0.0109918777,-0.012279395,0.0151411043,1
177,177,1994,10,0.035505438,0.0435211268,0.0024958413,0.0330095967,1
178,178,1994,11,0.0354526848,0.0235777248,0.0134003833,0.022052301500000003,0
179,179,1994,12,0.0612446639,0.06914089080000001,-0.00991149,0.0711561539,1
180,180,1995,1,-0.070313313,-0.06718763900000001,-0.054236823,-0.01607649,1
181,181,1995,2,0.0061851602,0.0162965259,-0.008558712,0.0147438722,1
182,182,1995,3,0.0188441554,0.0232429464,-0.004721184000000001,0.0235653394,1
183,183,1995,4,0.0219916078,0.0215460504,-0.007680369,0.0296719768,1
184,184,1995,5,0.0007748825999999999,0.0152181423,0.0033702104,-0.0025953278,0
185,185,1995,6,0.0257201757,0.0139877217,0.012632599,0.0130875767,0
186,186,1995,7,0.0202849717,0.0259360855,0.0052646626,0.0150203091,1
187,187,1995,8,0.0143191343,-0.005134581,-0.005110137,0.0194292713,1
188,188,1995,9,0.0054850777,0.0135501703,-0.013689786,0.019174863700000003,1
189,189,1995,10,0.0302110224,0.0458954097,-0.000980679,0.0311917014,0
190,190,1995,11,0.0542688477,0.0648663565,0.005526131,0.048742716699999994,1
191,191,1995,12,0.0497051305,0.0492109276,0.0025009695,0.047204161,0
192,192,1996,1,-0.046678105,-0.061480317,-0.026516255,-0.02016185,1
193,193,1996,2,0.0025102163,-0.01753884,-0.002918086,0.0054283023,1
194,194,1996,3,-0.014836128999999997,-0.020580445,-0.002597553,-0.012238575999999998,1
195,195,1996,4,-0.007877666,0.0166191299,-0.033051231,0.025173565000000002,1
196,196,1996,5,-0.000463742,-0.017067438,0.0050545496,-0.0055182916,1
197,197,1996,6,-0.009238016,-0.003386356,-0.018680381,0.009442365,1
198,198,1996,7,-0.021607838,-0.007649096,-0.011992543,-0.009615295000000001,0
199,199,1996,8,0.0125409045,0.0307336991,-0.008225327,0.0207662315,1
200,200,1996,9,0.0166389761,0.0438202186,-0.011859221,0.0284981971,1
201,201,1996,10,0.0572940759,0.0489248288,0.032005063,0.025289012899999998,0
202,202,1996,11,0.0005491854,-0.002321893,0.0116756129,-0.0111264275,0
203,203,1996,12,0.0768377214,0.0747908661,0.0188063714,0.05803135,0
204,204,1997,1,-0.06771763,-0.063817099,-0.046679481,-0.021038149,1
205,205,1997,2,-0.018610534,-0.018142618,-0.00758516,-0.011025374000000001,1
206,206,1997,3,0.0290257779,0.0382469266,-0.007034001999999999,0.0360597799,0
207,207,1997,4,0.0420531925,0.051443564800000015,0.008516016500000001,0.033537176,1
208,208,1997,5,-0.023655046,-0.028649625,-0.028735134,0.005080088,1
209,209,1997,6,0.0408303686,0.0457077707,-0.003371167,0.0442015356,1
210,210,1997,7,0.0493923053,0.054938216100000006,-0.007614185,0.057006490300000004,1
211,211,1997,8,-0.005757438,-0.009527991,-0.008223646999999999,0.0024662089999999987,1
212,212,1997,9,0.0057518087,0.015771064799999998,-0.017766094,0.0235179027,1
213,213,1997,10,-0.029421313,-0.024711825,-0.034621105,0.005199791999999998,1
214,214,1997,11,0.0194683999,0.058682106,-0.020744231,0.0402126309,0
215,215,1997,12,0.0921751038,0.1228529313,0.0168018141,0.07537328970000001,0
216,216,1998,1,-0.077184746,-0.08354558,-0.071225169,-0.005959576999999994,1
217,217,1998,2,-0.007698964,0.0049512794,-0.032969897000000005,0.025270933000000006,1
218,218,1998,3,0.036294812,0.026278506,0.0125631969,0.023731615100000002,1
219,219,1998,4,-0.017398989,-0.017909979,-0.009732617,-0.007666371999999999,1
220,220,1998,5,0.0246363681,0.0200262498,0.0079557392,0.0166806289,0
221,221,1998,6,0.0975709142,0.08169566660000001,0.030227429,0.0673434852,0
222,222,1998,7,0.012558357,0.0249002838,-0.000703359,0.013261716,1
